Disease Name,Image link,Page Origin,Origin,Pest Type,Legal in Australia
Xylella fastidiosa,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/1-xylella.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/xylella,plant,-,No
Khapra beetle,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/2-khapra.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle,plant,-,No
Fruit flies,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/3-exotic-fruit-fly.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/fruit-flies,plant,-,No
Karnal bunt,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/4-karnal-bunt.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/karnal-bunt,plant,-,No
Huanglongbing,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/5-huanglongbing.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/huanglongbing,plant,-,No
Gypsy moth,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/6-exotic-gypsy-moth.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/exotic-gypsy-moth,plant,-,No
Tramp ants,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/7-tramp-ant.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/tramp-ants,plant,-,No
Internal and external mites of bees,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/8-mites-bees.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/bees,plant,-,No
Giant African snail,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/9-giant-african-snail.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/giant-african-snail,plant,-,No
Brown marmorated stink bug,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/10-brown-marm-stink-bug.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/brown-marmorated-stink-bug,plant,-,No
Zebra chip,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/11-zebra-chip.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/zebra-chip,plant,-,No
Ug99 (Wheat stem rust),http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/12-ug99.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/ug99,plant,-,No
Russian wheat aphid (holocyclic form)​,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/13-russian-wheat-aphid.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/russian-wheat-aphid,plant,-,No
